stage: 1
0 0.103716 0.536636
0 0.103829 0.536624
0 0.103943 0.536618
0 0.104057 0.536614
0 0.104171 0.536611
0 0.104285 0.536608
0 0.104399 0.536606
0 0.104513 0.536594
0 0.104627 0.536591
0 0.104741 0.536581
0 0.104855 0.53658
0 0.104969 0.536567
0 0.105083 0.536565
0 0.105197 0.536548
0 0.105311 0.536528
0 0.105425 0.536527
0 0.105539 0.536522
0 0.105653 0.536519
0 0.105767 0.536518
0 0.105881 0.536517
0 0.105995 0.5365
0 0.106109 0.536497
0 0.106223 0.536491
0 0.106337 0.536481
0 0.106451 0.536481
0 0.106565 0.536468
0 0.106679 0.536459
0 0.106793 0.536453
0 0.106907 0.536453
0 0.107021 0.536452
0 0.107135 0.536436
0 0.107249 0.536432
0 0.107363 0.53643
0 0.107477 0.536414
0 0.107591 0.536411
0 0.107705 0.536408
0 0.107819 0.536406
0 0.107933 0.536404
0 0.108047 0.536401
0 0.10816 0.536401
0 0.108274 0.536399
0 0.108388 0.536398
0 0.108502 0.536397
0 0.108616 0.536397
0 0.10873 0.536396
0 0.108844 0.536394
0 0.108958 0.536391
0 0.109072 0.53639
0 0.109186 0.536379
0 0.1093 0.536373
0 0.109414 0.536373
0 0.109528 0.536361
0 0.109642 0.536358
0 0.109756 0.536352
0 0.10987 0.536351
0 0.109984 0.536339
0 0.110098 0.536339
0 0.110212 0.536336
0 0.110326 0.536332
0 0.11044 0.536328
0 0.110554 0.536326
0 0.110668 0.536323
0 0.110782 0.536316
0 0.110896 0.536313
0 0.11101 0.53631
0 0.111124 0.53631
0 0.111238 0.536302
0 0.111352 0.536296
0 0.111466 0.536293
0 0.11158 0.536289
0 0.111694 0.536288
0 0.111808 0.536281
0 0.111922 0.536275
0 0.112036 0.536274
0 0.11215 0.536272
0 0.112264 0.53627
0 0.112377 0.536269
0 0.112491 0.536266
0 0.112605 0.53625
0 0.112719 0.53624
0 0.112833 0.536233
0 0.112947 0.536233
0 0.113061 0.536215
0 0.113175 0.536204
0 0.113289 0.536201
0 0.113403 0.536197
0 0.113517 0.536196
0 0.113631 0.536193
0 0.113745 0.536189
0 0.113859 0.536181
0 0.113973 0.536175
0 0.114087 0.536172
0 0.114201 0.536165
0 0.114315 0.536161
0 0.114429 0.536154
0 0.114543 0.536152
0 0.114657 0.536141
0 0.114771 0.536139
0 0.114885 0.536136
0 0.114999 0.536136
0 0.115113 0.536133
0 0.115227 0.53612
0 0.115341 0.536113
0 0.115455 0.536111
0 0.115569 0.536104
0 0.115683 0.536093
0 0.115797 0.536093
0 0.115911 0.536089
0 0.116025 0.536087
0 0.116139 0.53608
0 0.116253 0.536072
0 0.116367 0.536072
0 0.116481 0.53607
0 0.116594 0.536069
0 0.116708 0.536067
0 0.116822 0.536061
0 0.116936 0.536052
0 0.11705 0.536044
0 0.117164 0.536032
0 0.117278 0.536029
0 0.117392 0.536028
0 0.117506 0.53602
0 0.11762 0.536018
0 0.117734 0.536015
0 0.117848 0.536007
0 0.117962 0.536007
0 0.118076 0.536001
0 0.11819 0.535999
0 0.118304 0.535993
0 0.118418 0.535988
0 0.118532 0.535987
0 0.118646 0.535986
0 0.11876 0.535983
0 0.118874 0.535982
0 0.118988 0.535975
0 0.119102 0.535972
0 0.119216 0.535962
0 0.11933 0.535951
0 0.119444 0.535948
0 0.119558 0.535946
0 0.119672 0.535944
0 0.119786 0.535942
0 0.1199 0.535938
0 0.120014 0.535925
0 0.120128 0.535916
0 0.120242 0.535914
0 0.120356 0.535908
0 0.12047 0.535895
0 0.120584 0.535888
0 0.120698 0.535881
0 0.120811 0.53588
0 0.120925 0.535871
0 0.121039 0.535864
0 0.121153 0.535855
0 0.121267 0.535848
0 0.121381 0.535837
0 0.121495 0.535833
0 0.121609 0.535812
0 0.121723 0.535805
0 0.121837 0.5358
0 0.121951 0.535796
0 0.122065 0.535793
0 0.122179 0.535792
0 0.122293 0.535789
0 0.122407 0.535788
0 0.122521 0.535783
0 0.122635 0.535774
0 0.122749 0.535772
0 0.122863 0.535769
0 0.122977 0.535767
0 0.123091 0.535764
0 0.123205 0.535763
0 0.123319 0.535761
0 0.123433 0.535754
0 0.123547 0.535754
0 0.123661 0.535748
0 0.123775 0.535747
0 0.123889 0.535747
0 0.124003 0.535741
0 0.124117 0.535733
0 0.124231 0.53573
0 0.124345 0.535729
0 0.124459 0.535728
0 0.124573 0.535725
0 0.124687 0.535725
0 0.124801 0.535714
0 0.124915 0.535712
